trunc_time,open_price,high_price,low_price,close_price,volume
2016-01-07,9900,10200,9700,10100,8618740
2016-01-08,10000,10200,9900,10200,9807490
2016-01-11,10300,10900,10100,10900,13232580
2016-01-12,10900,11400,10900,11300,8942460
2016-01-13,11200,11300,10800,10900,6320400
2016-01-14,10700,10800,10200,10300,6971860
2016-01-15,10300,10500,9800,9900,4740740
2016-01-18,9600,9700,9300,9300,8483270
2016-01-19,9500,9600,9300,9600,6368400
2016-01-20,9500,9500,9000,9000,8520470
2016-01-21,8900,8900,8400,8400,12664870
2016-01-22,8100,8400,7900,7900,19081830
2016-01-25,8200,8400,7900,8400,11890990
2016-01-26,8400,8900,8200,8900,14351750
2016-01-27,8900,9200,8700,8800,8082850
2016-01-28,8800,8800,8200,8300,8158020
2016-01-29,8400,8500,8100,8200,6620920
2016-02-01,8300,8400,8100,8200,3266160
2016-02-02,8200,8200,7800,8000,5695340
2016-02-03,7800,7900,7600,7600,7442940
2016-02-04,7700,7900,7600,7700,4552440
2016-02-05,7700,7900,7700,7800,1706700
2016-02-15,7800,7900,7600,7800,2413660
2016-02-16,7800,7900,7700,7800,2549370
2016-02-17,7900,8000,7800,7800,4097370
2016-02-18,7900,7900,7700,7800,4395210
2016-02-19,7800,8300,7800,8300,15455040
2016-02-22,8700,8800,8600,8800,6566780
2016-02-23,9300,9400,8800,8900,15666050
2016-02-24,8700,9300,8500,9000,13377530
2016-02-25,9000,9200,8700,8700,5531860
2016-02-26,8800,8800,8500,8600,2906550
2016-02-29,8500,8500,8100,8100,8792110
2016-03-01,8000,8500,8000,8300,4104240
2016-03-02,8400,8500,8200,8300,1879740
2016-03-03,8200,8300,7800,7900,12156310
2016-03-04,8000,8400,7900,8200,4479430
2016-03-07,8400,8600,8200,8400,4732920
2016-03-08,8300,8400,8000,8200,4381920
2016-03-09,8200,8300,8100,8100,1892630
2016-03-10,8300,8500,8200,8500,6012170
2016-03-11,8400,8800,8300,8400,6149470
2016-03-14,8400,8600,8300,8400,3899740
2016-03-15,8200,8500,8000,8300,9182720
2016-03-16,8200,8700,8200,8500,5758380
2016-03-17,8500,8600,8400,8400,4412790
2016-03-18,8400,8500,8300,8400,3807940
2016-03-21,8600,8900,8500,8500,12277370
2016-03-22,8500,8600,8400,8500,3347480
2016-03-23,8500,8700,8300,8500,4213490
2016-03-24,8400,8500,8300,8300,3144470
2016-03-25,8300,8400,8000,8200,4520080
2016-03-28,8200,8300,8100,8200,3164490
2016-03-29,8300,8300,8000,8000,3202980
2016-03-30,8000,8200,8000,8100,2813820
2016-03-31,8100,8100,7700,7800,5684020
2016-04-01,7800,7900,7600,7700,3882560
2016-04-04,7700,7800,7500,7700,3164770
2016-04-05,7600,7800,7500,7800,2014150
2016-04-06,7800,7900,7700,7800,1757830
2016-04-07,7800,7900,7600,7700,1790190
2016-04-08,7700,7700,7600,7600,1747210
2016-04-11,7600,7700,7400,7400,3814640
2016-04-12,7100,7200,6900,6900,8947470
2016-04-13,6500,6900,6500,6700,8710280
2016-04-14,6700,7100,6700,7100,5745370
2016-04-15,7200,7200,6900,6900,2891620
2016-04-19,6800,6900,6600,6700,3314080
2016-04-20,6700,6800,6600,6700,2968590
2016-04-21,6700,6900,6700,6800,1657010
2016-04-22,6800,7000,6700,7000,2824490
2016-04-25,7300,7400,7200,7400,10176920
