trunc_time,open_price,high_price,low_price,close_price,volume
2020-10-06,256.97144,258.83868,255.1577,256.51483,36796200
2020-10-07,256.84595,257.1412,254.0659,254.09383,44090100
2020-10-08,254.10178,256.31198,251.78503,254.42345,42347700
2020-10-09,254.43933,257.5063,254.43933,257.20328,44743300
2020-10-12,257.45544,259.89627,254.00754,254.69766,43826300
2020-10-13,254.8696,255.3752,253.08499,254.68253,20670600
2020-10-14,254.85446,257.06476,254.56955,256.37668,42131700
2020-10-15,256.5798,261.85297,256.22885,259.79138,45504900
2020-10-16,259.84723,261.8926,258.04095,260.48276,27569800
2020-10-19,260.5274,262.44974,259.56815,260.5382,32190400
2020-10-20,260.71014,261.363,258.1098,260.15646,31925800
2020-10-21,259.95334,262.02982,258.38733,258.38733,31810400
2020-10-22,258.55923,260.33817,257.05685,260.33124,25388800
2020-10-23,260.6751,263.2915,260.33124,262.16647,37275900
2020-10-26,262.41867,263.42435,256.4875,256.4875,38562800
2020-10-27,256.31555,256.86633,252.68936,253.19102,32614700
2020-10-28,253.36296,253.9945,246.07243,246.46506,40499600
2020-10-29,246.27484,248.6159,243.36427,246.29959,24883100
2020-10-30,245.95964,248.33865,244.34251,247.70683,19106400
2020-11-02,247.66895,250.71057,246.88475,250.71057,15971600
2020-11-03,250.95169,253.07011,250.40631,253.03662,21840900
2020-11-04,253.0437,256.1976,252.91966,254.75604,31196100
2020-11-05,255.08658,255.77208,252.73117,252.8643,22365000
2020-11-06,252.6232,254.53874,251.68555,254.5243,19558800
2020-11-09,254.6269,258.7066,254.6269,258.7066,40489700
2020-11-10,259.16882,263.69687,258.97446,259.2306,49139300
2020-11-11,259.08234,261.17508,258.81363,261.15683,31436600
2020-11-12,261.19354,264.2831,260.47705,264.2831,42238500
2020-11-13,264.35657,265.10132,262.91577,264.14227,34658100
2020-11-16,264.1721,266.20657,261.2616,261.8684,39307000
2020-11-17,262.0153,266.6566,262.0153,266.6566,45971000
2020-11-18,266.34845,267.78848,265.6026,267.40247,41224600
2020-11-19,267.55655,267.89386,266.15198,267.59918,41696600
2020-11-20,267.69095,267.9869,265.04276,266.97644,42374500
2020-11-23,267.28458,268.52103,265.56616,268.50198,39855500
2020-11-24,268.869,269.63934,263.79333,266.9571,48115600
2020-11-25,266.80884,269.67145,266.6057,268.66415,43896900
2020-11-26,268.87518,269.55426,266.6772,269.11633,36572500
2020-11-27,269.23853,269.69412,266.9709,268.21436,27567100
2020-11-30,268.3626,269.27405,266.4948,266.98874,38545000
2020-12-01,267.06216,269.18286,262.5244,267.95438,63317400
2020-12-02,268.0869,271.85394,267.39188,271.4962,51048900
2020-12-03,271.67453,274.63617,271.4962,273.4212,40385000
2020-12-04,273.59958,274.4977,271.23987,272.61957,42700900
2020-12-07,273.18246,274.87256,271.9773,273.34177,39838700
2020-12-08,273.24243,275.33762,272.07794,274.1287,50189300
2020-12-09,274.10577,278.0654,273.99152,276.73367,51379000
2020-12-10,276.91202,279.75464,273.84482,274.16135,52027600
2020-12-11,274.03793,277.13068,273.52277,276.8152,36623300
2020-12-14,277.106,283.18823,274.80405,282.1119,53016000
2020-12-15,282.23532,283.62814,280.27594,281.85947,68897900
2020-12-16,281.68112,286.3135,281.68112,284.81046,43033700
2020-12-17,285.38184,287.04446,282.8064,285.6091,74427500
2020-12-18,285.77466,292.8509,285.6091,292.33585,57743900
2020-12-21,292.71677,301.88794,292.6333,299.9028,73389200
2020-12-22,299.6515,305.04108,297.08435,305.04108,72086000
2020-12-23,305.18527,307.7227,298.55063,302.82635,88517600
2020-12-24,303.2432,304.75916,289.62686,301.1529,78218500
