trunc_time,open_price,high_price,low_price,close_price,volume
2020-10-06,62.813557,63.905354,62.813557,63.905354,32638300
2020-10-07,63.95453,64.12313,63.465446,63.953857,26264300
2020-10-08,63.990738,64.043015,62.949844,63.532864,28046300
2020-10-09,63.56155,64.019775,63.377464,64.01173,40579800
2020-10-12,64.011314,64.31352,63.22364,63.471645,27477600
2020-10-13,63.471382,63.48098,62.95723,63.42859,19853900
2020-10-14,63.427277,63.427277,62.65236,63.1327,35805600
2020-10-15,63.133038,63.512405,62.66385,63.477814,56042600
2020-10-16,63.476025,64.007706,63.394684,63.851532,35301600
2020-10-19,63.91995,64.224464,63.83038,63.95206,24686800
2020-10-20,63.95217,64.134026,63.3162,63.712624,35383900
2020-10-21,63.715015,63.82246,63.50944,63.75333,30526900
2020-10-22,63.766975,63.77032,63.38893,63.643448,20749600
2020-10-23,63.532406,63.966652,63.532406,63.910706,39711300
2020-10-26,63.90978,63.98862,63.323463,63.573364,18821900
2020-10-27,63.57332,63.631977,63.19023,63.396374,14572200
2020-10-28,63.408913,63.42255,62.436184,62.731644,21972300
2020-10-29,62.714714,62.864876,62.17111,62.739677,14558000
2020-10-30,62.740097,62.977116,62.453796,62.854652,20469800
2020-11-02,62.85517,63.180458,62.8074,63.08139,10542000
2020-11-03,63.081573,64.01213,62.931152,63.13675,10908400
2020-11-04,63.14165,63.495007,62.9816,63.495007,13096000
2020-11-05,63.485863,63.550983,63.238113,63.312027,13239000
2020-11-06,63.312298,63.595985,63.281925,63.5717,17514900
2020-11-09,63.60143,64.05365,63.374134,64.02118,13454400
2020-11-10,64.0279,64.96747,64.0279,64.159515,16517600
2020-11-11,64.1938,65.11394,64.11042,65.02705,13725900
2020-11-12,65.06133,65.23892,64.37001,64.52263,14299400
2020-11-13,64.53045,64.81387,64.48303,64.70049,24244600
2020-11-16,64.69774,65.14244,64.69339,64.84502,18641600
2020-11-17,64.84044,66.14934,64.8255,66.14798,23735000
2020-11-18,66.118256,66.43428,65.66577,65.88297,21374400
2020-11-19,65.88415,66.070015,65.82726,66.0537,20995300
2020-11-20,66.03084,66.43018,65.95587,66.4296,34978100
2020-11-23,66.43644,66.72771,66.421165,66.69223,30966600
2020-11-24,66.69369,66.85545,66.18597,66.76126,25106700
2020-11-25,66.767136,67.04574,66.46252,66.604034,29744900
2020-11-26,66.631386,66.66333,66.293365,66.49574,28055000
2020-11-27,66.48594,66.86496,66.409004,66.78692,32413600
2020-11-30,66.62859,67.01422,66.62859,66.896034,23464900
2020-12-01,66.89427,67.81153,66.563126,67.80786,29029300
2020-12-02,67.79884,68.601234,67.73922,68.601234,25228300
2020-12-03,68.594925,69.0443,68.59459,69.02145,34147500
2020-12-04,69.02353,69.19746,68.39568,68.60777,46782700
2020-12-07,68.60816,68.71116,68.33489,68.70023,31602200
2020-12-08,68.69878,68.94538,68.56605,68.936424,34329000
2020-12-09,68.93222,69.538895,68.836,69.260445,46300600
2020-12-10,69.26319,69.38521,68.567245,68.70675,35704000
2020-12-11,68.71153,68.791595,68.331436,68.72393,45956300
2020-12-14,68.74458,69.361275,68.595604,69.361275,44541800
2020-12-15,69.65587,69.842186,69.490944,69.61627,39501500
2020-12-16,69.63234,70.252045,69.63234,70.252045,32733900
2020-12-17,70.24514,70.694435,70.01224,70.293915,46948700
2020-12-18,70.29656,70.96687,70.265045,70.94563,50792300
2020-12-21,70.9459,71.69916,70.92322,71.63696,57921200
2020-12-22,71.63776,72.84742,71.595116,72.81862,55009400
2020-12-23,72.817444,73.59316,72.41637,73.59316,59246700
2020-12-24,73.62264,73.85404,72.12019,73.07252,60040700
2020-12-25,73.06806,73.3637,72.05821,72.9353,67466300
2020-12-28,72.97987,73.42184,72.87514,73.0953,52739700
2020-12-29,73.097946,73.92859,72.92135,73.82804,53910100
2020-12-30,73.83031,74.08255,73.205505,73.40947,46624200
2020-12-31,73.40971,74.454575,73.32173,74.454575,40617600
2021-01-04,74.45483,74.46314,73.90063,74.1971,50932000
