trunc_time,open_price,high_price,low_price,close_price,volume
2020-10-06,13750,14400,13700,14200,27112100
2020-10-07,14050,14300,13700,13700,19465920
2020-10-08,13800,13850,13450,13550,21328780
2020-10-09,13600,13800,13450,13550,12474800
2020-10-12,13750,13800,13300,13300,17962060
2020-10-13,13300,13600,13200,13450,12669050
2020-10-14,13500,13750,13350,13500,12364650
2020-10-15,13600,14000,13450,13850,20799860
2020-10-16,13850,13950,13700,13750,13048220
2020-10-19,13800,14300,13750,14100,20547610
2020-10-20,14000,14350,13950,14200,17698150
2020-10-21,14350,14750,14300,14400,25828950
2020-10-22,14350,14700,14200,14600,18152400
2020-10-23,14800,14800,14500,14550,13634620
2020-10-26,14500,14650,14100,14100,26821200
2020-10-27,14100,14200,13300,13300,37138550
2020-10-28,13300,13650,13100,13100,22628960
2020-10-29,13000,13500,13000,13500,13046030
2020-10-30,13500,13550,13050,13300,8184700
2020-11-02,13400,13450,13250,13450,5463810
2020-11-03,13500,13700,13450,13600,12021500
2020-11-04,13650,13900,13500,13650,9734960
2020-11-05,13650,13700,13350,13350,8295550
2020-11-06,13500,13500,13250,13350,6207220
2020-11-09,13500,13700,13400,13700,7874430
2020-11-10,13950,14000,13600,13600,9473760
2020-11-11,13700,13700,13450,13600,7954210
2020-11-12,13600,13750,13600,13700,6757380
2020-11-13,13700,13950,13700,13900,15076240
2020-11-16,14050,14100,13650,13650,12294300
2020-11-17,13700,13900,13600,13850,9076100
2020-11-18,13850,14400,13800,14200,22974320
2020-11-19,14200,14400,14050,14200,12623080
2020-11-20,14250,14250,14050,14150,9539770
2020-11-23,14250,14700,14050,14600,27268530
2020-11-24,14600,14650,14200,14500,16805930
2020-11-25,14550,14600,14350,14350,12055730
2020-11-26,14350,14650,14350,14500,21860890
2020-11-27,14600,14600,14350,14500,11455070
2020-11-30,14550,15000,14500,14650,18682960
2020-12-01,14450,15500,14400,15450,37839250
2020-12-02,15450,15800,15150,15400,21124570
2020-12-03,15500,15900,15450,15650,20877740
2020-12-04,15700,16100,15500,15600,24514030
2020-12-07,15600,15750,15550,15550,14994850
2020-12-08,15650,15900,15500,15850,19849710
2020-12-09,15900,16200,15900,15900,18897260
2020-12-10,15950,16050,15450,15550,21848500
2020-12-11,15650,15900,15500,15800,15443500
2020-12-14,15950,16100,15800,15950,15678170
2020-12-15,15900,16050,15800,15950,17651510
2020-12-16,16300,16800,16250,16600,23929920
2020-12-17,16450,16950,16400,16600,23515290
2020-12-18,16800,17150,16650,17000,25115670
2020-12-21,17200,17300,16900,17000,25779000
2020-12-22,17000,17350,16900,17150,34461030
2020-12-23,17200,17300,16700,16700,26091720
2020-12-24,16800,16850,15800,16500,29370800
2020-12-25,16500,16950,16250,16950,20824680
2020-12-28,17050,17100,16550,16750,23669440
2020-12-29,16750,16900,16600,16700,13078710
2020-12-30,17000,17250,16800,16800,35805500
2020-12-31,17000,17000,16750,16900,14969830
2021-01-04,17050,17700,16900,17550,46809600
2021-01-05,17550,17950,17450,17700,23399500
2021-01-06,17900,18350,17700,18000,31193600
2021-01-07,18050,18450,17850,18450,39683500
2021-01-08,18800,19500,18650,19400,34889200
2021-01-11,20000,20400,19800,20100,33493100
2021-01-12,19900,20050,19500,19800,27236800
2021-01-13,19800,20050,19400,19500,26650000
2021-01-14,19650,20250,19000,20100,27462300
2021-01-15,20500,21500,20500,21100,51692600
2021-01-18,21700,21700,20250,20600,59659200
2021-01-19,20350,20450,19200,19200,45045700
2021-01-20,19400,19600,17950,19000,34426700
2021-01-21,19400,20000,18850,20000,34477100
2021-01-22,20000,20200,19700,19950,29967400
2021-01-25,19700,19900,19350,19350,28071700
2021-01-26,19300,19300,18050,18100,32302200
2021-01-27,17800,18650,17000,17250,32158500
2021-01-28,16150,16950,16050,16050,45050900
2021-01-29,15500,17150,15500,16900,31230400
2021-02-01,17000,17450,16100,16100,23123900
2021-02-02,16400,17200,16000,17150,20756400
2021-02-03,17350,18200,17150,18000,27109800
2021-02-04,17900,18150,17550,17600,18651000
2021-02-05,17650,18300,17600,18300,18060300
2021-02-08,18300,18450,17100,17400,24037300
2021-02-09,17600,18200,17100,18150,18229600
2021-02-17,18350,18800,18200,18750,21031200
2021-02-18,18700,18800,18450,18600,22503900
2021-02-19,18400,19000,18250,18700,22590900
2021-02-22,18800,19200,18550,18600,25991000
2021-02-23,18650,19000,18500,18800,24897200
2021-02-24,18950,19150,18300,18350,24698800
2021-02-25,18600,18650,18200,18500,18339100
2021-02-26,18250,18550,18200,18350,17421100
2021-03-01,18650,19150,18500,19100,35781100
2021-03-02,19600,19600,19050,19150,21137900
2021-03-03,19150,19300,19000,19000,16624600
2021-03-04,19050,19150,18300,18350,23543500
2021-03-05,18350,18850,18150,18700,24861800
2021-03-08,19000,19150,18500,18600,13653100
2021-03-09,18500,18700,18300,18550,14770300
2021-03-10,18650,18900,18400,18700,18970000
2021-03-11,19000,19350,18850,19300,34594300
2021-03-12,19400,19500,19000,19200,19941500
2021-03-15,19200,19350,18900,18900,22954100
2021-03-16,18950,19150,18750,18900,23799400
2021-03-17,19000,19750,19000,19600,38324900
2021-03-18,19850,19950,19600,19700,19877400
2021-03-19,19650,19900,19550,19600,24328900
2021-03-22,19700,19700,19150,19200,32816300
2021-03-23,19200,19200,18750,18800,25297500
2021-03-24,18550,18850,18300,18400,22973200
2021-03-25,18600,19050,18450,18750,28724300
2021-03-26,18750,19100,18300,18950,23365100
2021-03-29,19050,19250,18900,19200,36995400
2021-03-30,19300,20500,19000,20500,99978500
2021-03-31,21350,21900,21250,21450,56674000
2021-04-01,21350,21650,21100,21600,33202800
2021-04-02,21900,22950,21800,22600,56039200
2021-04-05,23100,23300,22600,23150,46163800
2021-04-06,22600,23200,22600,22750,42374000
2021-04-07,22300,22600,22100,22300,51625800
2021-04-08,22500,22600,22000,22200,26665400
2021-04-09,22200,22900,22200,22700,25317200
2021-04-12,23000,23850,22750,23450,49313400
2021-04-13,23450,23550,22600,22700,46627800
2021-04-14,22450,22950,22200,22900,35105800
2021-04-15,23000,23000,22200,22350,36947400
2021-04-16,22300,22800,21800,22100,41485000
2021-04-19,22300,22900,22000,22900,29032100
2021-04-20,23000,23150,22300,22500,29744900
2021-04-22,22500,22600,21000,21000,35450900
2021-04-23,21300,22450,20900,22450,45227000
2021-04-26,22900,23200,22450,22550,41629500
2021-04-27,22550,23250,22300,23100,47546500
2021-04-28,23100,24350,22900,24200,71125700
2021-04-29,24250,24600,23850,23900,38893400
2021-05-04,23300,24200,23150,24100,54307900
2021-05-05,24150,25100,24050,24700,51677300
2021-05-06,24550,24900,24300,24400,34269000
2021-05-07,24250,24550,23800,24000,48458300
2021-05-10,23800,24500,23700,24300,41488900
2021-05-11,24500,25450,24450,24650,58012000
2021-05-12,24850,26350,24800,26350,59475300
2021-05-13,26200,27150,26050,26300,47105300
2021-05-14,26600,26850,26150,26400,32742600
2021-05-17,26500,26700,25850,25950,39752100
2021-05-18,25950,27400,25650,27300,44745200
2021-05-19,27350,28700,27300,28500,46484200
2021-05-20,28500,29550,28100,29400,57268100
2021-05-21,29250,29800,28800,28850,45792800
2021-05-24,28850,29250,28800,28900,31595200
2021-05-25,29000,29750,28900,29350,24123100
