trunc_time,open_price,high_price,low_price,close_price,volume
2020-10-06,867.74,872.39,866.12,871.37,148279580
2020-10-07,870.98,876.31,867.06,870.85,157151510
2020-10-08,870.88,873.13,864.55,869.82,139809540
2020-10-09,869.8,875.52,868.36,874.53,115723800
2020-10-12,874.72,882.84,871.58,874.9,130255360
2020-10-13,874.58,879.25,872.36,878.35,103915810
2020-10-14,878.94,892.25,878.94,892.15,176566350
2020-10-15,896.5,901.71,893.94,899.2,167589220
2020-10-16,899.58,906.17,892.7,901.59,157348820
2020-10-19,899.61,906.16,899.61,903.51,142169620
2020-10-20,903.57,909.49,899.42,909.49,179990420
2020-10-21,910.63,918.14,905.08,906.1,152206540
2020-10-22,905.85,918.3,901.96,918.3,133646710
2020-10-23,918.84,930.59,918.84,930.3,163038710
2020-10-26,929.5,942.72,919.56,919.56,167434310
2020-10-27,919.6,926.52,914.72,915.46,189908440
2020-10-28,913.37,916.0,888.88,888.88,183439080
2020-10-29,887.99,894.19,879.74,886.68,151632600
2020-10-30,887.34,893.42,875.84,892.55,130033580
2020-11-02,892.68,900.03,889.83,899.27,83556370
2020-11-03,899.73,904.78,897.3,902.14,110878290
2020-11-04,902.38,910.59,900.74,905.48,112218650
2020-11-05,905.55,913.2,903.64,903.64,97631160
2020-11-06,903.68,907.67,899.51,902.91,79120200
2020-11-09,903.13,917.42,903.13,917.42,108928030
2020-11-10,917.45,929.66,916.5,916.5,137867540
2020-11-11,916.98,919.95,910.39,916.68,114386310
2020-11-12,916.89,923.0,916.21,923.0,85346880
2020-11-13,923.04,931.2,923.0,931.2,122988700
2020-11-16,931.4,939.1,915.23,915.97,173012830
2020-11-17,916.25,934.65,916.25,934.65,129177640
2020-11-18,935.24,939.62,931.18,937.67,153573720
2020-11-19,938.6,945.06,936.32,944.92,166086320
2020-11-20,944.85,950.89,942.28,950.89,125700510
2020-11-23,950.98,961.35,946.14,960.03,164653110
2020-11-24,959.99,964.53,948.67,959.61,184868340
2020-11-25,959.68,963.81,957.09,960.63,175122450
2020-11-26,960.29,964.16,953.46,964.16,156138260
2020-11-27,964.32,971.11,963.69,971.11,142656350
2020-11-30,971.39,975.46,965.89,965.89,168722120
2020-12-01,963.57,976.44,951.92,976.35,213408260
2020-12-02,976.27,981.28,973.58,979.95,187854660
2020-12-03,980.17,986.4,978.16,985.44,183517840
2020-12-04,985.91,988.68,983.03,984.34,182020670
2020-12-07,984.25,992.59,984.07,992.01,148301050
2020-12-08,992.11,996.64,988.71,993.61,153446320
2020-12-09,993.68,1004.61,993.68,1004.03,180899680
2020-12-10,1004.42,1008.6,994.28,994.28,173563520
2020-12-11,994.34,1008.65,994.29,1008.65,127663730
2020-12-14,1008.86,1024.28,1008.86,1024.28,160378000
2020-12-15,1024.4,1025.34,1009.8,1013.02,173336680
2020-12-16,1013.66,1029.72,1013.66,1029.72,178525030
2020-12-17,1028.63,1028.63,1015.86,1016.95,226638630
2020-12-18,1017.99,1037.98,1017.99,1036.65,183606010
