trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-01-07,10100,10100.0,,HAG,SkLearn,MV
2016-01-08,10200,10150.0,,HAG,SkLearn,MV
2016-01-11,10900,10525.0,,HAG,SkLearn,MV
2016-01-12,11300,10912.5,,HAG,SkLearn,MV
2016-01-13,10900,10906.25,,HAG,SkLearn,MV
2016-01-14,10300,10603.125,,HAG,SkLearn,MV
2016-01-15,9900,10251.5625,,HAG,SkLearn,MV
2016-01-18,9300,9775.78125,,HAG,SkLearn,MV
2016-01-19,9600,9687.890625,,HAG,SkLearn,MV
2016-01-20,9000,9343.9453125,,HAG,SkLearn,MV
2016-01-21,8400,8871.97265625,,HAG,SkLearn,MV
2016-01-22,7900,8385.986328125,,HAG,SkLearn,MV
2016-01-25,8400,8392.9931640625,,HAG,SkLearn,MV
2016-01-26,8900,8646.49658203125,,HAG,SkLearn,MV
2016-01-27,8800,8723.248291015625,,HAG,SkLearn,MV
2016-01-28,8300,8511.624145507812,,HAG,SkLearn,MV
2016-01-29,8200,8355.812072753906,,HAG,SkLearn,MV
2016-02-01,8200,8277.906036376953,,HAG,SkLearn,MV
2016-02-02,8000,8138.953018188477,,HAG,SkLearn,MV
2016-02-03,7600,7869.476509094238,,HAG,SkLearn,MV
2016-02-04,7700,7784.738254547119,,HAG,SkLearn,MV
2016-02-05,7800,7792.36912727356,,HAG,SkLearn,MV
2016-02-15,7800,7796.18456363678,,HAG,SkLearn,MV
2016-02-16,7800,7798.09228181839,,HAG,SkLearn,MV
2016-02-17,7800,7799.046140909195,,HAG,SkLearn,MV
2016-02-18,7800,7799.5230704545975,,HAG,SkLearn,MV
2016-02-19,8300,8049.761535227299,,HAG,SkLearn,MV
2016-02-22,8800,8424.88076761365,,HAG,SkLearn,MV
2016-02-23,8900,8662.440383806825,,HAG,SkLearn,MV
2016-02-24,9000,8831.220191903412,,HAG,SkLearn,MV
2016-02-25,8700,8765.610095951706,,HAG,SkLearn,MV
2016-02-26,8600,8682.805047975853,,HAG,SkLearn,MV
2016-02-29,8100,8391.402523987927,,HAG,SkLearn,MV
2016-03-01,8300,8345.701261993963,,HAG,SkLearn,MV
2016-03-02,8300,8322.850630996982,,HAG,SkLearn,MV
2016-03-03,7900,8111.425315498491,,HAG,SkLearn,MV
2016-03-04,8200,8155.712657749245,,HAG,SkLearn,MV
2016-03-07,8400,8277.856328874623,,HAG,SkLearn,MV
2016-03-08,8200,8238.928164437311,,HAG,SkLearn,MV
2016-03-09,8100,8169.464082218656,,HAG,SkLearn,MV
2016-03-10,8500,8334.732041109328,,HAG,SkLearn,MV
2016-03-11,8400,8367.366020554664,,HAG,SkLearn,MV
2016-03-14,8400,8383.683010277331,,HAG,SkLearn,MV
2016-03-15,8300,8341.841505138666,,HAG,SkLearn,MV
2016-03-16,8500,8420.920752569333,,HAG,SkLearn,MV
2016-03-17,8400,8410.460376284667,,HAG,SkLearn,MV
2016-03-18,8400,8405.230188142334,,HAG,SkLearn,MV
2016-03-21,8500,8452.615094071167,,HAG,SkLearn,MV
2016-03-22,8500,8476.307547035583,,HAG,SkLearn,MV
2016-03-23,8500,8488.153773517792,,HAG,SkLearn,MV
2016-03-24,8300,8394.076886758896,,HAG,SkLearn,MV
2016-03-25,8200,8297.038443379448,,HAG,SkLearn,MV
2016-03-28,8200,8248.519221689723,,HAG,SkLearn,MV
2016-03-29,8000,8124.2596108448615,,HAG,SkLearn,MV
2016-03-30,8100,8112.129805422431,,HAG,SkLearn,MV
2016-03-31,7800,7956.064902711216,,HAG,SkLearn,MV
2016-04-01,7700,7828.032451355608,,HAG,SkLearn,MV
2016-04-04,7700,7764.016225677804,,HAG,SkLearn,MV
2016-04-05,7800,7782.008112838902,,HAG,SkLearn,MV
2016-04-06,7800,7791.004056419451,,HAG,SkLearn,MV
2016-04-07,7700,7745.502028209726,,HAG,SkLearn,MV
2016-04-08,7600,7672.751014104862,,HAG,SkLearn,MV
2016-04-11,7400,7536.375507052431,,HAG,SkLearn,MV
2016-04-12,6900,7218.187753526216,,HAG,SkLearn,MV
2016-04-13,6700,6959.093876763108,,HAG,SkLearn,MV
2016-04-14,7100,7029.546938381554,,HAG,SkLearn,MV
2016-04-15,6900,6964.773469190777,,HAG,SkLearn,MV
2016-04-19,6700,6832.386734595389,,HAG,SkLearn,MV
2016-04-20,6700,6766.193367297694,,HAG,SkLearn,MV
2016-04-21,6800,6783.096683648847,,HAG,SkLearn,MV
2016-04-22,7000,6891.548341824424,,HAG,SkLearn,MV
2016-04-25,7400,7145.774170912212,,HAG,SkLearn,MV
2016-04-26,7900,7522.887085456106,,HAG,SkLearn,MV
2016-04-27,8000,7761.443542728053,,HAG,SkLearn,MV
2016-04-28,7900,7830.721771364027,,HAG,SkLearn,MV
2016-04-29,8000,7915.360885682014,,HAG,SkLearn,MV
2016-05-04,7500,7707.680442841007,,HAG,SkLearn,MV
2016-05-05,7400,7553.840221420503,,HAG,SkLearn,MV
2016-05-06,7500,7526.920110710252,,HAG,SkLearn,MV
2016-05-09,7400,7463.460055355126,,HAG,SkLearn,MV
2016-05-10,7400,7431.730027677563,,HAG,SkLearn,MV
2016-05-11,7500,7465.865013838782,,HAG,SkLearn,MV
2016-05-12,7500,7482.932506919391,,HAG,SkLearn,MV
2016-05-13,7400,7441.4662534596955,,HAG,SkLearn,MV
2016-05-16,7400,7420.733126729848,,HAG,SkLearn,MV
2016-05-17,7900,7660.366563364923,,HAG,SkLearn,MV
2016-05-18,8400,8030.183281682462,,HAG,SkLearn,MV
2016-05-19,8300,8165.09164084123,,HAG,SkLearn,MV
2016-05-20,8000,8082.545820420615,,HAG,SkLearn,MV
2016-05-23,8100,8091.272910210308,,HAG,SkLearn,MV
2016-05-24,8000,8045.636455105154,,HAG,SkLearn,MV
2016-05-25,8000,8022.818227552577,,HAG,SkLearn,MV
