trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-01-04,12600,12600.0,,STB,DIY,MV
2016-01-05,12300,12450.0,,STB,DIY,MV
2016-01-06,12800,12625.0,,STB,DIY,MV
2016-01-07,12600,12612.5,,STB,DIY,MV
2016-01-08,12600,12606.25,,STB,DIY,MV
2016-01-11,12300,12453.125,,STB,DIY,MV
2016-01-12,12500,12476.5625,,STB,DIY,MV
2016-01-13,12400,12438.28125,,STB,DIY,MV
2016-01-14,11900,12169.140625,,STB,DIY,MV
2016-01-15,11100,11634.5703125,,STB,DIY,MV
2016-01-18,10700,11167.28515625,,STB,DIY,MV
2016-01-19,11200,11183.642578125,,STB,DIY,MV
2016-01-20,10900,11041.8212890625,,STB,DIY,MV
2016-01-21,10600,10820.91064453125,,STB,DIY,MV
2016-01-22,10900,10860.455322265625,,STB,DIY,MV
2016-01-25,11600,11230.227661132812,,STB,DIY,MV
2016-01-26,11100,11165.113830566406,,STB,DIY,MV
2016-01-27,11200,11182.556915283203,,STB,DIY,MV
2016-01-28,11300,11241.278457641602,,STB,DIY,MV
2016-01-29,11300,11270.6392288208,,STB,DIY,MV
2016-02-01,11200,11235.3196144104,,STB,DIY,MV
2016-02-02,11100,11167.6598072052,,STB,DIY,MV
2016-02-03,11100,11133.8299036026,,STB,DIY,MV
2016-02-04,11200,11166.9149518013,,STB,DIY,MV
2016-02-05,11200,11183.45747590065,,STB,DIY,MV
2016-02-15,11000,11091.728737950325,,STB,DIY,MV
2016-02-16,10900,10995.864368975163,,STB,DIY,MV
2016-02-17,10600,10797.932184487581,,STB,DIY,MV
2016-02-18,11000,10898.96609224379,,STB,DIY,MV
2016-02-19,11000,10949.483046121895,,STB,DIY,MV
2016-02-22,10800,10874.741523060948,,STB,DIY,MV
2016-02-23,10900,10887.370761530474,,STB,DIY,MV
2016-02-24,11200,11043.685380765237,,STB,DIY,MV
2016-02-25,11100,11071.842690382618,,STB,DIY,MV
2016-02-26,11200,11135.92134519131,,STB,DIY,MV
2016-02-29,11000,11067.960672595655,,STB,DIY,MV
2016-03-01,10900,10983.980336297827,,STB,DIY,MV
2016-03-02,11100,11041.990168148914,,STB,DIY,MV
2016-03-03,11000,11020.995084074457,,STB,DIY,MV
2016-03-04,11000,11010.497542037228,,STB,DIY,MV
2016-03-07,11000,11005.248771018614,,STB,DIY,MV
2016-03-08,10900,10952.624385509307,,STB,DIY,MV
2016-03-09,10900,10926.312192754653,,STB,DIY,MV
2016-03-10,10900,10913.156096377326,,STB,DIY,MV
2016-03-11,11000,10956.578048188663,,STB,DIY,MV
2016-03-14,11000,10978.28902409433,,STB,DIY,MV
2016-03-15,10800,10889.144512047165,,STB,DIY,MV
2016-03-16,10700,10794.572256023583,,STB,DIY,MV
2016-03-17,10800,10797.28612801179,,STB,DIY,MV
2016-03-18,10400,10598.643064005895,,STB,DIY,MV
2016-03-21,10600,10599.321532002949,,STB,DIY,MV
2016-03-22,10600,10599.660766001474,,STB,DIY,MV
2016-03-23,10600,10599.830383000737,,STB,DIY,MV
2016-03-24,10300,10449.915191500368,,STB,DIY,MV
2016-03-25,10400,10424.957595750184,,STB,DIY,MV
2016-03-28,10300,10362.478797875092,,STB,DIY,MV
2016-03-29,10100,10231.239398937545,,STB,DIY,MV
2016-03-30,10300,10265.619699468773,,STB,DIY,MV
2016-03-31,10300,10282.809849734385,,STB,DIY,MV
2016-04-01,10300,10291.404924867193,,STB,DIY,MV
2016-04-04,10300,10295.702462433597,,STB,DIY,MV
2016-04-05,10200,10247.851231216799,,STB,DIY,MV
2016-04-06,10300,10273.9256156084,,STB,DIY,MV
2016-04-07,10100,10186.9628078042,,STB,DIY,MV
2016-04-08,10100,10143.4814039021,,STB,DIY,MV
2016-04-11,10100,10121.74070195105,,STB,DIY,MV
